,0
0,AET
1,AGN
2,ANDV
3,APC
4,ARG
5,AVP
6,BBT
7,BCR
8,BF.B
9,BHGE
10,BMS
11,BRCM
12,BRK.B
13,BXLT
14,CA
15,CAM
16,CBS
17,CELG
18,CFN
19,CMCSK
20,CPGX
21,CSRA
22,CTL
23,CVC
24,CXO
25,DNR
26,DO
27,DPS
28,DTV
29,ESRX
30,ESV
31,ETFC
32,EVHC
33,FDO
34,FTR
35,GGP
36,GMCR
37,HCBK
38,HCP
39,HSP
40,JEC
41,JOY
42,KRFT
43,LLL
44,LLTC
45,LM
46,LO
47,LVLT
48,MJN
49,MNK
50,MYL
51,NBL
52,NE
53,NFX
54,PCP
55,PETM
56,Q
57,RAI
58,RHT
59,RTN
60,SIAL
61,SNDK
62,SNI
63,SPLS
64,STI
65,STJ
66,SWY
67,SYMC
68,TE
69,TIF
70,TSS
71,TWC
72,TWX
73,UA-C
74,UTX
75,VIAB
76,WCG
77,WFM
78,WIN
79,WYN
80,YHOO
